playerName,teamId,position,pass_rush_snaps
A'Shawn Robinson,0750,DE,18
A.J. Arcuri,2510,T,126
A.J. Epenesa,0610,DE,42
A.J. Green,2510,CB,57
A.J. Henning,2700,WR,39
A.J. Woods,3700,CB,12
A.T. Perry,1400,WR,9
AJ Barner,4600,TE,10
AJ Dillon,3700,RB,22
Aaron Banks,1800,G,10
Aaron Brewer,2700,G,28
Aaron Shampklin,2700,RB,16
Aaron Smith,3430,LB,67
Aaron Stinnie,3410,G,92
Abdul Carter,3410,DE,27
Abraham Lucas,4600,T,37
Adam Butler,2520,DT,25
Adam Gotsis,4900,DT,36
Adam Prentice,1400,FB,14
Adam Thielen,0750,WR,12
Adam Trautman,1400,TE,24
Addison West,2700,G,72
Adedayo Odeleye,0325,DE,35
Adetomiwa Adebawore,2200,DT,52
Adin Huntington,1050,DE,59
Adisa Isaac,0325,OLB,29
Adonai Mitchell,2200,WR,79
Adoree' Jackson,3700,CB,39
Adrian Martinez,3430,QB,91
Aeneas Peebles,0325,DT,77
Ahmani Marshall,1050,RB,55
Ahmed Hassanein,1540,DE,38
Aidan O'Connell,2520,QB,82
Aiden Williams,3900,T,50
Ainias Smith,3700,WR,80
Aireontae Ersery,2120,T,33
Ajani Carter,2310,DB,34
Ajani Cornelius,1200,T,87
Ajou Ajou,2200,WR,42
Akayleb Evans,0750,CB,44
Akeem Davis-Gaither,3800,OLB,31
Al-Quadin Muhammad,1540,DE,67
Albert Okwuegbunam,2520,TE,33
Ale Kaho,5110,LB,81
Alec Lindstrom,3200,C,66
Alex Austin,3200,CB,60
Alex Bachman,2520,WR,66
Alex Cappa,2520,G,10
Alex Cook,0810,SS,97
Alex Forsyth,1400,C,94
Alex Huntley,2700,DT,40
Alex Johnson,2200,CB,88
Alex Palczewski,1400,T,83
Alex Singleton,1400,ILB,10
Alex Wright,1050,DE,22
Alexander Mattison,2700,RB,9
Alfred Collins,4500,DT,67
Ali Gaye,2100,DE,101
Alijah Clark,1200,DB,69
Alijah Vera-Tucker,3430,G,28
Allan George,1540,CB,60
Allan George,5110,CB,28
Allen Lazard,3430,WR,10
Alohi Gilman,4400,SS,8
Alphonzo Tuputala,4600,LB,22
Alvin Kamara,3300,RB,1
Amani Hooker,2100,FS,27
Amani Oruwariye,2100,CB,82
Amar Johnson,1800,RB,48
Amari Burney,2100,OLB,51
Amari Gainer,2520,OLB,8
Amari Kight,4600,T,95
Amarius Mims,0920,T,38
Ambry Thomas,3000,CB,52
Ameer Abdullah,4500,RB,5
Amen Ogbongbemiga,0810,ILB,28
Andre Baccellia,3800,WR,47
Andre Carter II,2520,OLB,50
Andre Cisco,3430,SS,22
Andre James,4400,C,72
Andre Jones Jr.,5110,DE,112
Andre' Sam,3700,FS,104
Andrei Iosivas,0920,WR,29
Andrew Armstrong,2700,WR,61
Andrew Beck,3430,FB,35
Andrew Billings,0810,DT,36
Andrew Booth,1200,CB,68
Andrew Coker,0920,T,114
Andrew Farmer,1400,OLB,39
Andrew Mukuba,3700,DB,24
Andrew Ogletree,2200,TE,37
Andrew Raym,0920,C,94
Andrew Rupcich,2100,T,119
Andrew Stueber,0920,T,97
Andrew Vorhees,0325,G,28
Andrew Wingard,2250,FS,29
Andrew Wylie,5110,T,7
Andru Phillips,3410,CB,26
Andrus Peat,3900,G,66
Andy Dalton,0750,QB,27
Anfernee Jennings,3200,OLB,50
Anthony Belton,1800,T,126
Anthony Booker,2520,DT,19
Anthony Bradford,4600,G,37
Anthony Campbell,4600,DT,19
Anthony Goodlow,3800,DE,90
Anthony Gould,2200,WR,77
Anthony Miller,0325,WR,55
Anthony Nelson,4900,OLB,14
Anthony Pittman,1540,OLB,110
Anthony Richardson,2200,QB,24
Anthony Torres,2510,TE,27
Anthony Tyus III,4600,RB,41
Anton Harrison,2250,T,11
Antonio Gibson,3200,RB,23
Antonio Grier Jr.,4900,ILB,43
Antonio Hamilton,5110,CB,59
Antonio Johnson,2250,FS,62
Antwane Wells Jr.,3410,WR,54
Antwaun Powell-Ryland,3700,LB,56
Arden Key,2100,OLB,20
Arian Smith,3430,WR,78
Arlington Hambright,2100,G,8
Armand Membou,3430,T,55
Arnold Ebiketie,0200,OLB,24
Arron Mosby,1800,DE,99
Art Green,3410,CB,50
Arthur Maulet,2120,CB,48
Ashton Dulin,2200,WR,53
Ashton Gillotte,2310,DE,83
Ashton Jeanty,2520,RB,25
Asim Richards,1200,T,92
Atonio Mafi,2520,G,81
Audric Estimé,1400,RB,51
Austen Pleasants,4500,T,87
Austin Ajiake,2200,MLB,64
Austin Booker,0810,DE,36
Austin Corbett,0750,C,16
Austin Deculus,2120,T,138
Austin Hooper,3200,TE,24
Austin Johnson,2250,DT,26
Austin Keys,3000,LB,83
Austin Reed,0810,QB,38
Austin Schlottmann,3410,C,105
Austin Trammell,2250,WR,66
Avonte Maddox,1540,CB,75
Aydan White,2250,DB,75
Azeez Al-Shaair,2120,ILB,11
Azeez Ojulari,3700,DE,52
Azizi Hearn,2310,CB,29
BJ Adams,2700,DB,46
BJ Green II,2250,DE,66
BJ Mayes,2200,DB,49
Bailey Zappe,2310,QB,42
Bam Knight,3800,RB,28
Bam Martin-Scott,0750,LB,64
Baron Browning,3800,OLB,10
Barrett Carter,0920,LB,53
Barry Wesley,3300,T,88
Barryn Sorrell,1800,DE,37
Basil Okoye,0325,DT,73
Baylor Cupp,0325,TE,19
Beanie Bishop Jr.,3900,CB,43
Beau Brade,0325,FS,75
Beaux Collins,3410,WR,42
Beaux Limmer,2510,C,73
Ben Bartch,4500,G,12
Ben Bredeson,4900,G,19
Ben Brown,3200,G,68
Ben Cleveland,0325,G,69
Ben DiNucci,0200,QB,9
Ben Dooley,2510,T,98
Ben Nikkel,5110,DB,96
Ben Powers,1400,G,37
Ben Scott,4900,C,102
Ben Sims,1800,TE,55
Ben Sinnott,5110,TE,52
Ben Skowronek,3900,WR,3
Ben Stille,2700,DT,48
Ben VanSumeren,3700,FB,8
Ben Wooldridge,3200,QB,107
Ben Yurosek,3000,TE,51
Benito Jones,2700,DT,19
Benjamin Chukwuma,4900,T,124
Benjamin St-Juste,4400,CB,17
Benton Whitley,3800,OLB,87
Bhayshul Tuten,2250,RB,32
Bilhal Kone,0325,DB,14
Bill Norton,2510,DT,58
Billy Bowman Jr.,0200,DB,34
Blake Brandel,3000,G,33
Blake Corum,2510,RB,28
Blake Fisher,2120,T,52
Blake Freeland,2200,T,79
Blake Hance,2100,G,54
Blake Lynch,2100,OLB,27
Blake Watson,1400,RB,63
Blake Whiteheart,1050,TE,33
Blayne Taylor,2200,WR,63
Bo Melton,1800,WR,71
Bo Nix,1400,QB,37
Bo Richter,3000,OLB,78
Bobby Brown III,0750,NT,30
Bobby Hart,5110,T,104
Bobby Okereke,3410,MLB,28
Bobby Price,5110,FS,75
Boye Mafe,4600,OLB,10
Braden Smith,2200,T,13
Bradlee Anae,4500,DE,44
Bradley Bozeman,4400,C,7
Bradley Chubb,2700,OLB,10
Brady Christensen,0750,G,71
Brady Cook,3430,QB,75
Brady Russell,4600,TE,52
Bradyn Swinson,3200,LB,82
Braeden Daniels,2700,G,100
Braelon Allen,3430,RB,27
Braiden McGregor,3430,DE,59
Bralen Trice,0200,OLB,39
Bralyn Lux,0920,DB,136
Brandin Cooks,3300,WR,18
Brandin Echols,3900,CB,86
Brandon Allen,2100,QB,73
Brandon Codrington,0610,CB,67
Brandon Coleman,5110,T,10
Brandon Crenshaw-Dickson,2100,T,45
Brandon Crossley,3200,DB,70
Brandon Dorlus,0200,DE,32
Brandon George,2310,LB,52
Brandon Johnson,3700,DB,41
Brandon Johnson,3900,WR,44
Brandon Jones,1400,FS,20
Brandon Parker,0200,T,98
Brandon Pili,4600,NT,35
Brandon Smith,3430,WR,82
Brandon Stephens,3430,FS,22
Brandon Walton,0750,G,98
Branson Combs,2250,LB,58
Branson Taylor,4400,G,112
Brant Banks,1800,G,44
Brashard Smith,2310,RB,43
Braxton Berrios,2120,WR,23
Braxton Jones,0810,T,59
