playerName,teamId,position,pass_rush_snaps
AJ Dillon,0750,RB,23
Aaron Hall,0750,DT,21
Akayleb Evans,0750,CB,32
Albert Reese,0750,T,51
Andrew Billings,3800,DT,10
Anthony Tyus III,0750,RB,14
Austin Keys,3800,ILB,65
BJ Ojulari,3800,OLB,34
Bam Knight,3800,RB,29
Bam Martin-Scott,0750,ILB,26
Brady Christensen,0750,T,17
Brodric Martin,3800,DT,27
Brycen Tremayne,0750,WR,17
Bryson Green,3800,WR,33
Caden Prieskorn,0750,TE,23
Cam Gill,0750,OLB,18
Cam Horsley,3800,DT,28
Cam Jackson,0750,DT,13
Cam Miller,0750,CB,14
Cam Robertson,3800,OLB,35
Carson Beck,3800,QB,39
Casey Washington,0750,WR,27
Chamon Metayer,0750,TE,14
Chandler Zavala,0750,G,17
Chase Bisontis,3800,G,39
Chau Smith-Wade,0750,CB,24
Christian Jones,3800,T,10
Claudin Cherelus,0750,ILB,19
Corey Kiner,3800,RB,26
Corey Thornton,0750,CB,20
Dadrion Taylor-Demerson,3800,FS,7
Damonic Williams,3800,NT,38
David Moore,0750,WR,15
DeCarlos Nicholson,0750,DB,10
Demani Richardson,0750,FS,41
Demontrey Jacobs,3800,T,14
Devonta Smith,0750,CB,28
Eku Leota,3800,OLB,32
Elijah Cooks,0750,WR,32
Elijah Culp,3800,CB,51
Elijah Garcia,0750,DT,19
Elijah Jones,3800,CB,47
Elliott Brown,3800,OLB,33
Evan Hull,3800,RB,8
Feleipe Franks,0750,TE,21
Harrison Wallace III,3800,WR,19
Hayden Conner,3800,G,39
Haynes King,0750,QB,50
Isaia Glass,0750,T,50
Isaiah Oliver,3800,FS,60
Isaiah Simmons,0750,MLB,31
Isaiah Smith,0750,OLB,18
Ja'Seem Reed,0750,WR,23
Ja'Tavion Sanders,0750,TE,3
Ja'Tyre Carter,0750,G,50
Jackson Kuwatch,0750,ILB,34
Jalen Brooks,3800,WR,20
James Mitchell,0750,TE,20
Jameson Geers,3800,TE,23
Jared Harrison-Hunte,0750,DT,20
Jayden Williams,3800,T,39
Jimmy Horn Jr.,0750,WR,34
John Metchie III,0750,WR,26
Jon Gaines II,3800,C,39
Jonah Williams,3800,DE,44
Josh Fryar,3800,T,39
Ka'ena Decambra,3800,C,24
Kalen King,3800,CB,28
Karson Sharar,3800,ILB,31
Kedon Slovis,3800,QB,24
Kei'Trel Clark,3800,CB,36
Kenny Pickett,0750,QB,17
Kenny Yeboah,3800,TE,19
Kitan Crawford,3800,FS,7
Kyon Barrs,0750,DT,18
Lathan Ransom,0750,SS,22
Lee Hunter,0750,NT,19
Maema Njongmeta,0750,ILB,17
Malick Meiga,0750,WR,9
Mapalo Mwansa,0750,DE,10
Matt Pryor,3800,T,24
Miles Davis,0750,RB,17
Nick Hampton,0750,OLB,31
Nick Samac,0750,C,31
Olisaemeka Udoh,3800,T,24
Owen Pappoe,3800,ILB,36
Parker Petersen,0750,DT,13
Princely Umanmielen,0750,OLB,14
Quinton Newsome,3800,CB,25
Reggie Virgil,3800,WR,42
Rivaldo Fairweather,3800,TE,33
Robert Rochell,0750,CB,14
Roc Taylor,0750,WR,4
Ryan Hayes,0750,T,29
Sam Hecht,0750,C,36
Simi Fehoko,3800,WR,21
Stone Forsythe,0750,T,54
Thomas Incoom,0750,OLB,31
Trevin Wallace,0750,ILB,19
Trevis Gipson,0750,DE,14
Trevor Etienne,0750,RB,13
Tyrek Funderburk,0750,CB,17
Tywone Malone,0750,DT,14
Valentin Senn,3800,T,24
Will Lee III,0750,CB,19
Wydett Williams Jr.,3800,SS,60
Xavier Weaver,3800,WR,42
Zachary Carter,3800,DT,3
Zakee Wheatley,0750,SS,33
