season,team,games,qb1,qb1_snaps,off_share,off_starters_played,def_share,def_starters_played,starter_share,head_coach
2024,PIT,3,Justin Fields,65.0,35.4,11.0,8.7,7.0,22.0,Mike Tomlin
2024,LV,3,Gardner Minshew,48.0,20.0,6.0,22.4,7.7,21.2,Antonio Pierce
2024,JAX,3,Trevor Lawrence,30.0,14.1,7.3,21.3,7.0,17.7,Doug Pederson
2024,DEN,3,Bo Nix,56.0,17.9,7.3,15.1,6.3,16.5,Sean Payton
2024,NE,3,Jacoby Brissett,25.0,23.4,9.0,7.2,5.7,15.3,Jerod Mayo
2024,IND,3,Anthony Richardson,30.0,14.5,7.3,14.0,7.0,14.2,Shane Steichen
2024,BUF,3,Josh Allen,8.0,16.4,7.0,11.6,6.3,14.0,Sean McDermott
2024,NYG,3,Daniel Jones,28.0,14.0,5.0,13.2,5.0,13.6,Brian Daboll
2024,NO,3,Derek Carr,31.0,16.3,6.7,10.1,5.0,13.2,Dennis Allen
2024,CHI,4,Caleb Williams,38.0,13.7,5.0,11.3,4.5,12.5,Matt Eberflus
2024,TEN,3,Will Levis,31.0,16.3,6.7,7.6,4.0,12.0,Brian Callahan
2024,SF,3,Brock Purdy,32.0,14.2,5.0,8.7,4.3,11.4,Kyle Shanahan
2024,BAL,3,Lamar Jackson,0.0,10.5,2.7,10.4,2.7,10.4,John Harbaugh
2024,KC,3,Patrick Mahomes,24.0,10.7,5.7,8.5,5.0,9.6,Andy Reid
2024,WAS,3,Jayden Daniels,28.0,11.2,6.0,7.8,5.0,9.5,Dan Quinn
2024,LAC,3,Justin Herbert,0.0,7.6,4.7,9.0,5.0,8.3,Jim Harbaugh
2024,HOU,4,C.J. Stroud,21.0,8.2,4.5,8.2,4.5,8.2,DeMeco Ryans
2024,SEA,3,Geno Smith,5.0,10.4,4.7,5.2,6.0,7.8,Mike Macdonald
2024,TB,3,Baker Mayfield,7.0,9.3,6.0,6.2,4.3,7.8,Todd Bowles
2024,CAR,3,Bryce Young,11.0,8.3,4.3,4.8,2.3,6.6,Dave Canales
2024,GB,3,Jordan Love,3.0,5.0,3.3,7.7,4.0,6.3,Matt LaFleur
2024,PHI,3,Jalen Hurts,0.0,1.0,0.7,9.6,4.0,5.3,Nick Sirianni
2024,MIN,3,Sam Darnold,12.0,6.5,3.3,4.0,2.0,5.2,Kevin O'Connell
2024,DAL,3,Dak Prescott,0.0,6.5,1.7,3.2,1.0,4.9,Mike McCarthy
2024,MIA,3,Tua Tagovailoa,11.0,4.6,2.7,4.1,2.3,4.4,Mike McDaniel
2024,CLE,3,Deshaun Watson,0.0,6.0,3.7,2.6,2.0,4.3,Kevin Stefanski
2024,CIN,3,Joe Burrow,12.0,5.4,2.7,2.4,2.7,3.9,Zac Taylor
2024,LAR,3,Matthew Stafford,0.0,3.7,0.7,0.0,0.0,1.8,Sean McVay
2024,AZ,3,Kyler Murray,0.0,0.1,0.3,3.1,1.7,1.6,Jonathan Gannon
2024,NYJ,3,Aaron Rodgers,0.0,0.3,0.3,1.4,0.7,0.9,Robert Saleh
2024,ATL,3,Kirk Cousins,0.0,0.0,0.0,0.7,0.7,0.4,Raheem Morris
2024,DET,3,Jared Goff,0.0,0.0,0.0,0.7,0.3,0.3,Dan Campbell
2025,KC,3,Patrick Mahomes,22.0,17.2,9.0,19.8,8.7,18.5,Andy Reid
2025,LV,3,Geno Smith,28.0,17.9,11.0,18.6,10.3,18.2,Pete Carroll
2025,CHI,3,Caleb Williams,39.0,14.6,6.7,18.1,7.3,16.4,Ben Johnson
2025,NO,3,Spencer Rattler,77.0,21.3,8.3,10.6,5.7,16.0,Kellen Moore
2025,TEN,3,Cam Ward,15.0,15.9,6.7,15.5,8.0,15.7,Brian Callahan
2025,DEN,3,Bo Nix,37.0,18.5,8.0,12.0,7.0,15.3,Sean Payton
2025,NE,3,Drake Maye,28.0,10.4,5.7,16.6,6.7,13.5,Mike Vrabel
2025,MIA,3,Tua Tagovailoa,28.0,11.7,4.7,13.7,8.0,12.7,Mike McDaniel
2025,CAR,3,Bryce Young,16.0,13.8,6.3,11.2,6.3,12.5,Dave Canales
2025,NYJ,3,Justin Fields,28.0,14.9,7.3,8.9,4.7,11.9,Aaron Glenn
