week,gameId,teamId,unit,unit_snaps,starters_played,starter_snap_share,qb1,qb1_snaps,season
0,2024001,2120,offense,48,2,9.1,C.J. Stroud,0.0,2024
0,2024001,0810,defense,48,1,2.5,,,2024
0,2024001,0810,offense,35,0,0.0,Caleb Williams,0.0,2024
0,2024001,2120,defense,35,0,0.0,,,2024
1,2024002,0750,offense,47,2,5.4,Bryce Young,0.0,2024
1,2024002,3200,defense,47,6,5.4,,,2024
1,2024002,3200,offense,62,9,18.3,Jacoby Brissett,4.0,2024
1,2024002,0750,defense,62,0,0.0,,,2024
1,2024003,3410,offense,50,4,6.4,Daniel Jones,0.0,2024
1,2024003,1540,defense,50,1,2.0,,,2024
1,2024003,1540,offense,62,0,0.0,Jared Goff,0.0,2024
1,2024003,3410,defense,62,4,13.2,,,2024
1,2024004,0200,offense,70,0,0.0,Kirk Cousins,0.0,2024
1,2024004,2700,defense,70,0,0.0,,,2024
1,2024004,2700,offense,67,0,0.0,Tua Tagovailoa,0.0,2024
1,2024004,0200,defense,67,2,2.2,,,2024
1,2024005,3900,offense,53,11,36.4,Justin Fields,15.0,2024
1,2024005,2120,defense,53,9,15.8,,,2024
1,2024005,2120,offense,58,7,8.2,C.J. Stroud,6.0,2024
1,2024005,3900,defense,58,6,7.2,,,2024
1,2024006,3700,offense,76,2,3.1,Jalen Hurts,0.0,2024
1,2024006,0325,defense,76,3,13.6,,,2024
1,2024006,0325,offense,45,3,13.3,Lamar Jackson,0.0,2024
1,2024006,3700,defense,45,8,15.2,,,2024
1,2024007,5110,offense,66,8,12.0,Jayden Daniels,11.0,2024
1,2024007,3430,defense,66,1,2.3,,,2024
1,2024007,3430,offense,52,1,0.9,Aaron Rodgers,0.0,2024
1,2024007,5110,defense,52,8,9.6,,,2024
1,2024008,0810,offense,51,10,25.8,Caleb Williams,18.0,2024
1,2024008,0610,defense,51,10,18.0,,,2024
1,2024008,0610,offense,56,11,26.6,Josh Allen,8.0,2024
1,2024008,0810,defense,56,7,20.8,,,2024
1,2024009,3000,offense,61,9,16.1,Sam Darnold,12.0,2024
1,2024009,2520,defense,61,11,24.1,,,2024
1,2024009,2520,offense,61,9,27.4,Gardner Minshew,21.0,2024
1,2024009,3000,defense,61,6,11.9,,,2024
1,2024010,1800,offense,62,9,10.6,Jordan Love,3.0,2024
1,2024010,1050,defense,62,3,3.4,,,2024
1,2024010,1050,offense,53,5,6.0,Deshaun Watson,0.0,2024
1,2024010,1800,defense,53,10,18.4,,,2024
1,2024011,0920,offense,49,8,16.3,Joe Burrow,12.0,2024
1,2024011,4900,defense,49,3,6.1,,,2024
1,2024011,4900,offense,69,4,6.5,Baker Mayfield,0.0,2024
1,2024011,0920,defense,69,7,6.1,,,2024
1,2024012,2310,offense,54,9,8.9,Patrick Mahomes,6.0,2024
1,2024012,2250,defense,54,9,14.5,,,2024
1,2024012,2250,offense,54,9,12.0,Trevor Lawrence,8.0,2024
1,2024012,2310,defense,54,7,9.8,,,2024
1,2024013,4500,offense,51,4,10.2,Brock Purdy,0.0,2024
1,2024013,2100,defense,51,6,11.8,,,2024
1,2024013,2100,offense,67,10,16.3,Will Levis,14.0,2024
1,2024013,4500,defense,67,2,3.8,,,2024
1,2024014,4400,offense,49,5,7.8,Justin Herbert,0.0,2024
1,2024014,4600,defense,49,9,11.5,,,2024
1,2024014,4600,offense,76,4,9.7,Geno Smith,0.0,2024
1,2024014,4400,defense,76,7,10.6,,,2024
1,2024015,3300,offense,65,10,17.1,Derek Carr,9.0,2024
1,2024015,3800,defense,65,3,6.3,,,2024
1,2024015,3800,offense,64,1,0.3,Kyler Murray,0.0,2024
1,2024015,3300,defense,64,7,11.6,,,2024
1,2024016,2200,offense,48,11,15.7,Anthony Richardson,7.0,2024
1,2024016,1400,defense,48,8,25.2,,,2024
1,2024016,1400,offense,78,11,24.0,Bo Nix,37.0,2024
1,2024016,2200,defense,78,9,12.7,,,2024
1,2024017,2510,offense,62,1,6.3,Matthew Stafford,0.0,2024
1,2024017,1200,defense,62,3,9.7,,,2024
1,2024017,1200,offense,67,2,9.6,Dak Prescott,0.0,2024
1,2024017,2510,defense,67,0,0.0,,,2024
2,2024018,3200,offense,51,10,26.6,Jacoby Brissett,14.0,2024
2,2024018,3700,defense,51,4,13.7,,,2024
2,2024018,3700,offense,62,0,0.0,Jalen Hurts,0.0,2024
2,2024018,3200,defense,62,5,8.5,,,2024
2,2024019,0325,offense,55,3,13.2,Lamar Jackson,0.0,2024
2,2024019,0200,defense,55,0,0.0,,,2024
2,2024019,0200,offense,63,0,0.0,Kirk Cousins,0.0,2024
2,2024019,0325,defense,63,3,6.1,,,2024
2,2024020,0810,offense,49,10,29.1,Caleb Williams,20.0,2024
