season,team,unit,week,share,qb1_snaps
2024,ATL,defense,1,2.2,0.0
2024,ATL,defense,2,0.0,0.0
2024,ATL,defense,3,0.0,0.0
2024,ATL,offense,1,0.0,0.0
2024,ATL,offense,2,0.0,0.0
2024,ATL,offense,3,0.0,0.0
2024,AZ,defense,1,6.3,0.0
2024,AZ,defense,2,3.0,0.0
2024,AZ,defense,3,0.0,0.0
2024,AZ,offense,1,0.3,0.0
2024,AZ,offense,2,0.0,0.0
2024,AZ,offense,3,0.0,0.0
2024,BAL,defense,1,13.6,0.0
2024,BAL,defense,2,6.1,0.0
2024,BAL,defense,3,11.4,0.0
2024,BAL,offense,1,13.3,0.0
2024,BAL,offense,2,13.2,0.0
2024,BAL,offense,3,4.9,0.0
2024,BUF,defense,1,18.0,0.0
2024,BUF,defense,2,16.7,0.0
2024,BUF,defense,3,0.0,0.0
2024,BUF,offense,1,26.6,8.0
2024,BUF,offense,2,22.5,0.0
2024,BUF,offense,3,0.0,0.0
2024,CAR,defense,1,0.0,0.0
2024,CAR,defense,2,0.0,0.0
2024,CAR,defense,3,14.5,0.0
2024,CAR,offense,1,5.4,0.0
2024,CAR,offense,2,5.1,0.0
2024,CAR,offense,3,14.3,11.0
2024,CHI,defense,0,2.5,0.0
2024,CHI,defense,1,20.8,0.0
2024,CHI,defense,2,18.7,0.0
2024,CHI,defense,3,3.1,0.0
2024,CHI,offense,0,0.0,0.0
2024,CHI,offense,1,25.8,18.0
2024,CHI,offense,2,29.1,20.0
2024,CHI,offense,3,0.0,0.0
2024,CIN,defense,1,6.1,0.0
2024,CIN,defense,2,1.1,0.0
2024,CIN,defense,3,0.0,0.0
2024,CIN,offense,1,16.3,12.0
2024,CIN,offense,2,0.0,0.0
2024,CIN,offense,3,0.0,0.0
2024,CLE,defense,1,3.4,0.0
2024,CLE,defense,2,0.0,0.0
2024,CLE,defense,3,4.4,0.0
2024,CLE,offense,1,6.0,0.0
2024,CLE,offense,2,2.9,0.0
2024,CLE,offense,3,9.1,0.0
2024,DAL,defense,1,9.7,0.0
2024,DAL,defense,2,0.0,0.0
2024,DAL,defense,3,0.0,0.0
2024,DAL,offense,1,9.6,0.0
2024,DAL,offense,2,10.0,0.0
2024,DAL,offense,3,0.0,0.0
2024,DEN,defense,1,25.2,0.0
2024,DEN,defense,2,18.2,0.0
2024,DEN,defense,3,1.8,0.0
2024,DEN,offense,1,24.0,37.0
2024,DEN,offense,2,26.4,19.0
2024,DEN,offense,3,3.3,0.0
2024,DET,defense,1,2.0,0.0
2024,DET,defense,2,0.0,0.0
2024,DET,defense,3,0.0,0.0
2024,DET,offense,1,0.0,0.0
2024,DET,offense,2,0.0,0.0
2024,DET,offense,3,0.0,0.0
2024,GB,defense,1,18.4,0.0
2024,GB,defense,2,4.7,0.0
2024,GB,defense,3,0.0,0.0
2024,GB,offense,1,10.6,3.0
2024,GB,offense,2,4.3,0.0
2024,GB,offense,3,0.0,0.0
2024,HOU,defense,0,0.0,0.0
2024,HOU,defense,1,15.8,0.0
2024,HOU,defense,2,16.9,0.0
2024,HOU,defense,3,0.0,0.0
2024,HOU,offense,0,9.1,0.0
2024,HOU,offense,1,8.2,6.0
2024,HOU,offense,2,15.3,15.0
2024,HOU,offense,3,0.0,0.0
2024,IND,defense,1,12.7,0.0
2024,IND,defense,2,5.1,0.0
2024,IND,defense,3,24.1,0.0
2024,IND,offense,1,15.7,7.0
2024,IND,offense,2,0.0,0.0
2024,IND,offense,3,27.8,23.0
2024,JAX,defense,1,14.5,0.0
2024,JAX,defense,2,3.9,0.0
2024,JAX,defense,3,45.5,0.0
2024,JAX,offense,1,12.0,8.0
2024,JAX,offense,2,5.2,0.0
2024,JAX,offense,3,25.1,22.0
2024,KC,defense,1,9.8,0.0
2024,KC,defense,2,8.5,0.0
2024,KC,defense,3,7.2,0.0
2024,KC,offense,1,8.9,6.0
2024,KC,offense,2,23.3,18.0
2024,KC,offense,3,0.0,0.0
2024,LAC,defense,1,10.6,0.0
2024,LAC,defense,2,16.4,0.0
2024,LAC,defense,3,0.0,0.0
2024,LAC,offense,1,7.8,0.0
2024,LAC,offense,2,14.2,0.0
2024,LAC,offense,3,0.8,0.0
2024,LAR,defense,1,0.0,0.0
2024,LAR,defense,2,0.0,0.0
2024,LAR,defense,3,0.0,0.0
2024,LAR,offense,1,6.3,0.0
2024,LAR,offense,2,4.8,0.0
2024,LAR,offense,3,0.0,0.0
2024,LV,defense,1,24.1,0.0
2024,LV,defense,2,39.6,0.0
2024,LV,defense,3,3.6,0.0
2024,LV,offense,1,27.4,21.0
2024,LV,offense,2,32.5,27.0
2024,LV,offense,3,0.0,0.0
2024,MIA,defense,1,0.0,0.0
2024,MIA,defense,2,12.3,0.0
2024,MIA,defense,3,0.0,0.0
2024,MIA,offense,1,0.0,0.0
2024,MIA,offense,2,12.1,11.0
2024,MIA,offense,3,1.8,0.0
2024,MIN,defense,1,11.9,0.0
2024,MIN,defense,2,0.0,0.0
2024,MIN,defense,3,0.0,0.0
2024,MIN,offense,1,16.1,12.0
2024,MIN,offense,2,3.3,0.0
2024,MIN,offense,3,0.0,0.0
2024,NE,defense,1,5.4,0.0
2024,NE,defense,2,8.5,0.0
2024,NE,defense,3,7.7,0.0
2024,NE,offense,1,18.3,4.0
2024,NE,offense,2,26.6,14.0
2024,NE,offense,3,25.4,7.0
2024,NO,defense,1,11.6,0.0
2024,NO,defense,2,16.6,0.0
2024,NO,defense,3,2.1,0.0
2024,NO,offense,1,17.1,9.0
2024,NO,offense,2,26.7,22.0
2024,NO,offense,3,5.2,0.0
2024,NYG,defense,1,13.2,0.0
2024,NYG,defense,2,26.4,0.0
2024,NYG,defense,3,0.0,0.0
2024,NYG,offense,1,6.4,0.0
2024,NYG,offense,2,33.7,28.0
2024,NYG,offense,3,1.8,0.0
2024,NYJ,defense,1,2.3,0.0
2024,NYJ,defense,2,2.0,0.0
2024,NYJ,defense,3,0.0,0.0
2024,NYJ,offense,1,0.9,0.0
2024,NYJ,offense,2,0.0,0.0
2024,NYJ,offense,3,0.0,0.0
2024,PHI,defense,1,15.2,0.0
2024,PHI,defense,2,13.7,0.0
2024,PHI,defense,3,0.0,0.0
2024,PHI,offense,1,3.1,0.0
2024,PHI,offense,2,0.0,0.0
2024,PHI,offense,3,0.0,0.0
2024,PIT,defense,1,7.2,0.0
2024,PIT,defense,2,14.8,0.0
2024,PIT,defense,3,4.0,0.0
2024,PIT,offense,1,36.4,15.0
2024,PIT,offense,2,40.4,37.0
2024,PIT,offense,3,29.3,13.0
2024,SEA,defense,1,11.5,0.0
2024,SEA,defense,2,0.8,0.0
2024,SEA,defense,3,3.4,0.0
2024,SEA,offense,1,9.7,0.0
2024,SEA,offense,2,10.0,0.0
2024,SEA,offense,3,11.6,5.0
2024,SF,defense,1,3.8,0.0
2024,SF,defense,2,8.1,0.0
2024,SF,defense,3,14.1,0.0
2024,SF,offense,1,10.2,0.0
2024,SF,offense,2,13.4,10.0
2024,SF,offense,3,19.0,22.0
2024,TB,defense,1,6.1,0.0
2024,TB,defense,2,7.6,0.0
2024,TB,defense,3,5.0,0.0
2024,TB,offense,1,6.5,0.0
2024,TB,offense,2,9.3,0.0
2024,TB,offense,3,12.0,7.0
2024,TEN,defense,1,11.8,0.0
2024,TEN,defense,2,0.0,0.0
2024,TEN,defense,3,11.1,0.0
2024,TEN,offense,1,16.3,14.0
2024,TEN,offense,2,0.0,0.0
2024,TEN,offense,3,32.5,17.0
2024,WAS,defense,1,9.6,0.0
2024,WAS,defense,2,13.9,0.0
2024,WAS,defense,3,0.0,0.0
2024,WAS,offense,1,12.0,11.0
2024,WAS,offense,2,21.6,17.0
2024,WAS,offense,3,0.0,0.0
2025,ATL,defense,1,13.7,0.0
2025,ATL,defense,2,14.6,0.0
2025,ATL,defense,3,2.7,0.0
2025,ATL,offense,1,11.5,0.0
2025,ATL,offense,2,6.4,0.0
2025,ATL,offense,3,0.0,0.0
2025,AZ,defense,1,15.6,0.0
2025,AZ,defense,2,1.5,0.0
2025,AZ,defense,3,0.0,0.0
2025,AZ,offense,1,25.7,16.0
2025,AZ,offense,2,3.0,0.0
2025,AZ,offense,3,0.0,0.0
2025,BAL,defense,1,4.8,0.0
2025,BAL,defense,2,3.5,0.0
2025,BAL,defense,3,4.3,0.0
2025,BAL,offense,1,6.3,0.0
2025,BAL,offense,2,11.5,0.0
2025,BAL,offense,3,0.0,0.0
2025,BUF,defense,1,15.6,0.0
2025,BUF,defense,2,12.0,0.0
2025,BUF,defense,3,7.7,0.0
2025,BUF,offense,1,16.5,0.0
2025,BUF,offense,2,1.8,0.0
2025,BUF,offense,3,0.0,0.0
2025,CAR,defense,1,15.9,0.0
2025,CAR,defense,2,17.8,0.0
2025,CAR,defense,3,0.0,0.0
2025,CAR,offense,1,23.1,11.0
2025,CAR,offense,2,16.9,5.0
2025,CAR,offense,3,1.5,0.0
2025,CHI,defense,1,8.9,0.0
2025,CHI,defense,2,13.1,0.0
2025,CHI,defense,3,32.2,0.0
2025,CHI,offense,1,2.9,0.0
2025,CHI,offense,2,12.1,13.0
2025,CHI,offense,3,28.9,26.0
2025,CIN,defense,1,11.3,0.0
2025,CIN,defense,2,10.6,0.0
2025,CIN,defense,3,0.0,0.0
2025,CIN,offense,1,21.8,15.0
2025,CIN,offense,2,24.3,23.0
2025,CIN,offense,3,0.0,0.0
2025,CLE,defense,1,11.9,0.0
2025,CLE,defense,2,6.9,0.0
2025,CLE,defense,3,14.8,0.0
2025,CLE,offense,1,2.0,0.0
2025,CLE,offense,2,4.8,0.0
2025,CLE,offense,3,15.0,16.0
2025,DAL,defense,1,1.6,0.0
2025,DAL,defense,2,9.1,0.0
2025,DAL,defense,3,0.0,0.0
